"","Unnamed: 0","Unnamed: 0.1","tweetID","tweetText","tweetRetweetCt","tweetFavoriteCt","tweetSource","tweetCreated","userID","userScreen","userName","userCreateDt","clean text","text length","Sentiment Analysis","pos_count","neg_count"
"19","19","78","1499893615862206470","mhtaga ash7en mobily wl sama3at wl laptop w power bank w net w ahs7en my social battery aham mn kol da for tmw","0.0","4.0","Twitter Web App","2022-03-04 23:44:39+00:00","1.2822770967238287e+18","leennaserr","ℓ🦋","2020-07-12 11:34:38+00:00","ash7    sama3       ahs7","26","neutral","0","0"
"20","20","87","1499873748291305474","@MichaelRozsypal No co, vždyť ti černí kluci měli mobily!!","0.0","0.0","Twitter Web App","2022-03-04 22:25:42+00:00","1.2804874750901985e+18","Toomb15","Toomb","2020-07-07 13:03:43+00:00","vždyť  černí  mě","19","neutral","0","0"
"21","21","95","1499870533344804866","@2oolwallahy Harfeyan ana habee3 mobily ashal","0.0","0.0","Twitter for iPhone","2022-03-04 22:12:56+00:00","1.1865115559717642e+18","ma3arfshh","Jumana 🇵🇸","2019-10-22 05:16:28+00:00","habee3","9","neutral","0","0"
"22","22","108","1499855395841581058","متوفر اشتراكات نت مفتوح شهري بدون استخدام عادل

pinki tunnel

لجميع الشرايح STC Mobily Zain 

للأيفون : 40 سوا   ✅
للأندرويد 20 سوا  ✅

نتفلكس 
بلس 
اشتراك
""","0.0","0.0","Twitter for iPhone","2022-03-04 21:12:46+00:00","1.4256361821851894e+18","RwganMe","انترنت بأرخص الاسعار","2021-08-12 01:52:34+00:00","متوفر اشتراكات نت مفتوح شهري بدون استخدام عادل   لجميع الشرايح    للايفون 40 سوا للاندرويد 20 سوا نتفلكس بلس اشتراك","115","neutral","0","1"
"23","23","109","1499851186949791748","NOTIFICATIONS WHATSAPP 2FLT???
B2YT EL NOTIFICATIONS KHARBANA??
 EL VIBRATION MESH SHA8AL MN AWLHA????
KOL EL PASSWORDS STORED ATMS7O???
Mobily malooooooooo","0.0","0.0","Twitter for iPhone","2022-03-04 20:56:03+00:00","7.336707608841462e+17","yours_ree","ree","2016-05-20 14:48:35+00:00","2  B2        SHA8        ATMS7","33","neutral","0","0"
"24","24","116","1499847696005406723","Guys ana mobily zh2ny f 3shty some1 help a sister out h3yt😭😭","0.0","2.0","Twitter for iPhone","2022-03-04 20:42:11+00:00","7.336707608841462e+17","yours_ree","ree","2016-05-20 14:48:35+00:00","zh2  3  some1    h3","23","neutral","0","0"
"25","25","117","1499846445343465472","@ruok200 وعليكم السلام مرحبا محمد 

يمكنك الاطلاع على باقات موبايلي مسبقة الدفع المضافة ومميزاتها وعروضها والاسعار من هنا 👈 https://t.co/sDr66L8lyS 

يومك سعيد 🌹","0.0","0.0","Sprinklr Publishing","2022-03-04 20:37:13+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","وعليكم مرحبا محمد يمكنك الاطلاع باقات مسبقه الدفع المضافه ومميزاتها وعروضها والاسعار يومك سعيد","94","neutral","0","1"
"26","26","118","1499846437802323969","@Mobily اعلان وهمي السوشل ميديا عندهم جميع التطبيقات الا #TikTok","0.0","0.0","Twitter for iPhone","2022-03-04 20:37:11+00:00","2534504449.0","w_r999","سبحان الله","2014-05-30 07:48:25+00:00","اعلان وهمي السوشل ميديا عندهم التطبيقات","39","negative","0","0"
"27","27","134","1499837088874647552","شوف اليوتيوب على راحتك 😎
واشترك في باقة 100GB مسبقة الدفع 👌🏼

وخذلك 100GB إضافية لاستخدام اليوتيوب لمدة 90 يوم 😎

أرسل 8080 إلى 1100 ✉️
أو اشترك عبر التطبيق 👇🏼","7.0","12.0","Twitter for Advertisers.","2022-03-04 20:00:02+00:00","14806765.0","Mobily","موبايلي","2008-05-17 01:52:43+00:00","شوف اليوتيوب راحتك واشترك باقه 100  مسبقه الدفع وخذلك 100  اضافيه لاستخدام اليوتيوب لمده 90 ارسل 8080 1100 اشترك عبر التطبيق","124","neutral","0","0"
"28","28","139","1499822879390801931","@hhSqHngkFRctHoe حياك الله عميلنا العزيز .. يمكنك التحقق من توفر الاجهزة وطلبها من خلال متجر موبايلي الالكتروني بزيارة https://t.co/dpqHVmHXkK .. طاب يومك","0.0","0.0","Sprinklr Publishing","2022-03-04 19:03:34+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","حياك الله عميلنا العزيز يمكنك التحقق توفر الاجهزه وطلبها متجر الالكتروني بزياره طاب يومك","88","neutral","0","0"
"29","29","150","1499814429176877059","@SemSuchar No, ne všichni z nich.
Je někde na tw učet, co ukazuje nahrávky hovoru, kdy ruský vojáci volají do Ruska.
Jeden se chlubil, že s kadyrovcema objiždějí vesnice, rabují obchody a kradou mobily. Docela si to užíval, protože v nějakém bytě našel tašku s penězi.","0.0","11.0","Twitter Web App","2022-03-04 18:29:59+00:00","385895176.0","Lohakar","Lohakar","2011-10-06 09:55:49+00:00","vš    ně    uč    nahrá    ruský vojá  volají      ž   objiždějí  rabují       uží  protož  nějaké  bytě naš  taš  peně","122","neutral","0","0"
"30","30","155","1499811693794414594","@lulwahfahed ويرجى إختيار المدينة والحي وتحديد موقعك ومن ثم اختيار Mobily Fiber والضغط على notify me when covered وتعبأة البيانات والضغط على submit 
دمت بخير","0.0","0.0","Sprinklr Publishing","2022-03-04 18:19:07+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","ويرجي اختيار المدينه والحي وتحديد موقعك اختيار   والضغط     وتعباه البيانات والضغط  دمت بخير","92","neutral","0","0"
"31","31","156","1499811663259881479","@lulwahfahed نود إفادتك بأن موبايلي تقوم بتغطية المناطق بشكل تدريجي وذلك وفق خطط مرحلية ويمكنك تسجيل بياناتك لنتواصل معك عند توفر التغطية في منطقتك بزيارة https://t.co/ucDY0kOIBa","0.0","0.0","Sprinklr Publishing","2022-03-04 18:19:00+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","نود افادتك بان تقوم بتغطيه المناطق تدريجي وذلك وفق خطط مرحليه ويمكنك تسجيل بياناتك لنتواصل معك توفر التغطيه منطقتك بزياره","121","neutral","0","0"
"32","32","159","1499809740892872711","@AbduIIh_H مرحبا استاذ عبدالله 
السعر المذكور شامل الضريبة, ويمكنك الاطلاع على الباقات المتوفرة من خلال التطبيق ولتحميل تطبيق موبايلي زيارة https://t.co/2nnmmsPIsW  
تحية طيبة. https://t.co/M7CgWPCKm7","0.0","0.0","Sprinklr Publishing","2022-03-04 18:11:22+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا استاذ عبدالله السعر المذكور شامل الضريبه ويمكنك الاطلاع الباقات المتوفره التطبيق ولتحميل تطبيق تحيه طيبه","110","neutral","0","0"
"33","33","162","1499809007636254727","الإنترنت معك كيف مابغيته وأكثر 🌐

مع باقة بيانات موبايلي مسبقة الدفع اللامحدودة ♾ 

متوفرة كبطاقة شحن وشريحة بيانات وخدمة مضافة 👌🏼

للاشتراك في الخدمة المضافة أرسل 4930 إلى 1100 ✉️ https://t.co/uSNIyuYm1j","9.0","13.0","Sprinklr Publishing","2022-03-04 18:08:27+00:00","14806765.0","Mobily","موبايلي","2008-05-17 01:52:43+00:00","الانترنت معك مابغيته واكثر باقه بيانات مسبقه الدفع اللامحدوده متوفره كبطاقه شحن وشريحه بيانات وخدمه مضافه للاشتراك الخدمه المضافه ارسل 4930 1100","144","neutral","0","0"
"34","34","165","1499807215838023685","@mohammedhamadmo @mlhm_net @stc_ksa @CITC_SA @CITC_withU @ZainKSA @Mobily @McitGovSa انا صارلي ثلاث شهور ابي الغي شبكه محد يرد علي وش الهمال هذا والخدمه اسيئه هاذي","0.0","0.0","Twitter for iPhone","2022-03-04 18:01:19+00:00","1.357384323595395e+18","IkLQ42JmufjnRGu","اا","2021-02-04 17:43:48+00:00","انا صارلي شهور ابي الغي شبكه محد يرد علي وش الهمال والخدمه اسيئه هاذي","69","negative","0","0"
"35","35","166","1499806964460703746","@Aldosey9 مرحبا سلطان 
باقة مفوتر 200 ذات رسوم اشتراك شهري 230 ريال شامل الضريبة ولمزيد من المعلومات زيارة https://t.co/AgzpWGV4yV 

طاب يومك","0.0","1.0","Sprinklr Publishing","2022-03-04 18:00:20+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا سلطان باقه مفوتر 200 رسوم اشتراك شهري 230 شامل الضريبه ولمزيد المعلومات طاب يومك","86","neutral","0","0"
"36","36","185","1499792588697706504","@bo_lana مرحبا . 

الخدمه متاحه للنقل الى الخطوط المفوتره ومسبقة الدفع  وللعروض والباقات يمكنك من خلال الرابط https://t.co/9qfFPYov4k
يمكنك الضغط على الباقات ومن ثم اختيار الباقه ومن ثم الضغط على شراء ومن ثم يظهر لك انقل رقمك الى موبايلي واتبع التعليمات  .

طاب يومك بكل خير 💙","0.0","0.0","Sprinklr Publishing","2022-03-04 17:03:12+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا الخدمه متاحه للنقل الخطوط المفوتره ومسبقه الدفع وللعروض والباقات يمكنك الرابط يمكنك الضغط الباقات اختيار الباقه الضغط شراء يظهر انقل رقمك واتبع التعليمات طاب يومك بكل خير","176","neutral","0","0"
"37","37","186","1499792547652280327","@med8v حياك الله استاذي الكريم 

يمكنك استبدال نقاطك بمكافأت على رقمك او قسائم شرائية عن طريق الشركاء  المتفق معهم 

ولمعرفة مستويات النقاط والمكافأت المتاحة لكل مستوى يمكنك زيارة تطبيق موبايلي او عبر الرابط التالي : https://t.co/D9ED3zbKcY

طاب يومك","0.0","0.0","Sprinklr Publishing","2022-03-04 17:03:02+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","حياك الله استاذي الكريم يمكنك استبدال نقاطك بمكافات رقمك قسائم شرائيه طريق الشركاء المتفق معهم ولمعرفه مستويات النقاط والمكافات المتاحه لكل مستوي يمكنك تطبيق عبر الرابط التالي طاب يومك","184","neutral","0","0"
"38","38","189","1499789978930499587","Pokud kupuješ věci z Číny nepodporuješ západ,ale východ! Vyhoďte prosím teď hned vše čínské-aji mobily!! https://t.co/3hIAmbbKVK","0.0","2.0","Twitter Web App","2022-03-04 16:52:50+00:00","1.3876770255116575e+18","tarot_dog","🇨🇿🇨🇦🇭🇲💉Irish terrier,Czech republic","2021-04-29 07:56:20+00:00","kupuješ vě  Čí  nepodporuješ zá   vý  Vyhoď  prosí  teď  vš  čínské","69","neutral","0","0"
"39","39","190","1499789366411018240","Kont mnzla story inharda esobh bs’al 3la ktab al’yh fen…mn shwya l’et mobily byrn hd mn sohaby b’lna kter fashkh mtklmnash l’etu by’oly l ktab l konty bts’lyh 3leh esmu eh!!! Fa ‘oltlu esmu w bs’lu eshm3na ‘aly 3shan agbhulk oxemballah hsat ‘ny 3wza a3yat.","0.0","3.0","Twitter for iPhone","2022-03-04 16:50:24+00:00","1.1681535709669335e+18","lastonein40th","MonaHassan","2019-09-01 13:28:45+00:00","3                         3         eshm3   3      3  a3","64","neutral","0","0"
"40","40","192","1499785734600990722","@sameerjamali1 
Dear Siddique .. Kindly, note that Mobily Fiber service can be relocated for free for the first time, after that will be for 600 Riyals + 15% tax for each relocation request.","0.0","0.0","Sprinklr Publishing","2022-03-04 16:35:58+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","60015","30","neutral","0","0"
"41","41","205","1499774906053152771","@kalousekm Když já se obávám, že není asi možnost, jak k nim takovou kampaň 
(nebo jakoukoli informaci) vůbec dostat...Kdo ví, jestli mají ti kuci aspoň mobily. A starší profíci- ti šli prostě denacifikovat....
Ale představa je to ...hezká...","0.0","0.0","Twitter Web App","2022-03-04 15:52:56+00:00","1.496005272812368e+18","vvrov10","Jsemtu Nová","2022-02-22 06:15:46+00:00","Když já  obává  ž  není  mož     kampaň    vů    ví  mají   aspoň  starší profí   š  prostě   př    hezká","105","neutral","0","0"
"42","42","216","1499761705034952707","@cvonza2 @Vystrcil_Milos Tady se jedna o válku, cvonzo. 
V centrech registrace, např. v Praze se mohou při registraci i očkovat, pokud nejsou.
A možná mají covidpas taky v mobilu. Nejsou to divoši že stepi, mobily mají a očkovalo se i u nich. 
Máte s jejich příchodem ještě nějaký problém?","0.0","0.0","Twitter Web App","2022-03-04 15:00:29+00:00","1.496005272812368e+18","vvrov10","Jsemtu Nová","2022-02-22 06:15:46+00:00","vá      např    př    oč    možná mají      divoš  ž    mají oč    Má   pří  ještě nějaký problé","100","neutral","0","0"
"43","43","217","1499761353732591627","@aboziad114422 مع امكانية الحصول على اربع شرائح متعددة بسعر 28.75 ريال للشريحة الاولى والثانية و 57.5 ريال للشريحة الثالثة والرابعة شهرياً ولمزيد من المعلومات زيارة https://t.co/00iAH3X0BY 
كنا تقدم الباقة ميزة الحصول على جهاز اقساط 

طاب يومك https://t.co/TkUhJ8oSS3","0.0","0.0","Sprinklr Publishing","2022-03-04 14:59:05+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","امكانيه الحصول اربع شرائح متعدده بسعر 28 75 للشريحه والثانيه 57 للشريحه الثالثه والرابعه شهريا ولمزيد المعلومات كنا تقدم الباقه ميزه الحصول جهاز اقساط طاب يومك","159","neutral","0","0"
"44","44","222","1499759246166081541","...A to je důvod proč neposíláte do boje invazní vojsko s mobily a dětskými vysílačkami.

Oh, Shoigu, Shoigu, Shoigu... https://t.co/24poMoKeuY","0.0","0.0","Buffer","2022-03-04 14:50:43+00:00","555395264.0","Al_Geroth","Jan Krupička","2012-04-16 20:21:44+00:00","dů  proč neposílá    invazní   dětský  vysílač","49","neutral","0","0"
"45","45","223","1499753976002195457","@televizeseznam Asi nikde nenajdu ten proslo co, určitě to bylo motivující 🤔 Celkem by mě zajímalo následné výrazy jeho píkrů🤡... Ale s jejich super mobily to asi nikdo asi nenatáčel...","0.0","0.0","Twitter for Android","2022-03-04 14:29:46+00:00","1.497570039322534e+18","JirmusovaP","Petra Jirmusová","2022-02-26 13:53:06+00:00","určitě   motivující   mě zají  následné vý   píkrů         nenatáč","73","neutral","0","0"
"46","46","244","1499733253292445704","@Rlx9_ مرحبا يمكنك الإطلاع على الأجهزة الذكية والإكسسوارات وأجهزة الألعاب المشمولة بخدمة تقسيط الأجهزة والأسعار بزيارة https://t.co/qKObiDRwIh","0.0","0.0","Sprinklr Publishing","2022-03-04 13:07:25+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا يمكنك الاطلاع الاجهزه الذكيه والاكسسوارات واجهزه الالعاب المشموله بخدمه تقسيط الاجهزه والاسعار بزياره","107","neutral","0","0"
"47","47","257","1499722275947429890","jestli si věříte, nepotřebujete si navzajem procházet mobily","0.0","2.0","Twitter for iPhone","2022-03-04 12:23:48+00:00","1.325901719885271e+18","nrihovva","Natálie💗","2020-11-09 20:43:11+00:00","věří  nepotř    prochá","25","neutral","0","0"
"48","48","262","1499719111345123331","@Rattle7 @eicul Pavle, takhle kreativně tvořit realitu bylo možné v době před-mobilni. Dneska máš IRL live streamy, web kamery, mobily, starlink. 

Vyvolávat averzi na základě domněnky je pro vraha čím dál těžší.","0.0","0.0","Twitter for iPhone","2022-03-04 12:11:14+00:00","131493191.0","kotyzap","Pavel Kotyza","2010-04-10 12:43:34+00:00","kreativně tvoř    možné době př    máš        Vyvolá    základě domně     čí  dá  těžší","90","neutral","0","0"
"49","49","265","1499716576840491014","@aiiii2m مرحبا يمكنك الاطلاع على عروض موبايلي واسعارها بزيارة https://t.co/Ch3QCpDMLE تحية طيبة","0.0","0.0","Sprinklr Publishing","2022-03-04 12:01:09+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا يمكنك الاطلاع عروض واسعارها بزياره تحيه طيبه","50","neutral","1","0"
"50","50","269","1499711426520301570","@tradshatoor مرحبا. 
يمكنك الاطلاع على حلول الانترنت لباقات البيانات ومجموعة متنوعة من الاجهزة اللاسلكية والراوترات المتوفرة من موبايلي والعروض والاسعار من هنا 👈 https://t.co/TzTixSzUb1 
طاب يومك","0.0","0.0","Sprinklr Publishing","2022-03-04 11:40:42+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا يمكنك الاطلاع حلول الانترنت لباقات البيانات ومجموعه متنوعه الاجهزه اللاسلكيه والراوترات المتوفره والعروض والاسعار طاب يومك","128","neutral","0","1"
"51","51","281","1499703552477777920","@arupakoron_ 🙏フォローバックありがとうございます🙇‍♂️","0.0","1.0","Twitter Web App","2022-03-04 11:09:24+00:00","1.0673793987209462e+18","Gemini_mobily","Gemini mobily #⃣相互フォロー","2018-11-27 11:27:34+00:00","フォローバックありがとうございます","17","neutral","0","0"
"52","52","282","1499702435610169345","@nayu_751 フォローバックしてくれてありがとう🙏
こちらこそありがとうございます😊
よろしくお願いします 🙇","0.0","1.0","Twitter Web App","2022-03-04 11:04:58+00:00","1.0673793987209462e+18","Gemini_mobily","Gemini mobily #⃣相互フォロー","2018-11-27 11:27:34+00:00","フォローバックしてくれてありがとう こちらこそありがとうございます よろしくお願いします","44","neutral","0","0"
"53","53","285","1499699903639048192","#ملهم_بدون_نت #stc_zain_mobily وزارة الاتصالات وزير الاتصالات مايشوف ماتوصلكم شكاوينا عيب استحو","1.0","1.0","Twitter for iPhone","2022-03-04 10:54:54+00:00","1.3509096894422712e+18","farsnjd_19","فارس نجد","2021-01-17 20:55:53+00:00","ملهم بدون نت    وزاره الاتصالات وزير الاتصالات مايشوف ماتوصلكم شكاوينا عيب استحو","80","negative","0","1"
"54","54","288","1499698446655115266","@Gemini_mobily こちらこそありがとうございます😊
よろしくお願いします🙇‍♂️","0.0","0.0","Twitter for Android","2022-03-04 10:49:07+00:00","1.4166334737338614e+18","Miyabi__37","Miyabi","2021-07-18 05:38:48+00:00","こちらこそありがとうございます よろしくお願いします","26","neutral","0","0"
